"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Armação dos Búzios","Branca","2017",0
"Armação dos Búzios","Branca","2018",0
"Armação dos Búzios","Branca","2019",56
"Armação dos Búzios","Branca","2020",0
"Armação dos Búzios","Branca","2021",23
"Armação dos Búzios","Branca","2022",2
"Armação dos Búzios","Branca","2023",99
"Armação dos Búzios","Branca","2024",181
"Armação dos Búzios","Branca","2025",95
"Armação dos Búzios","Preta","2015",1
"Armação dos Búzios","Preta","2016",1
"Armação dos Búzios","Preta","2017",0
"Armação dos Búzios","Preta","2018",0
"Armação dos Búzios","Preta","2019",18
"Armação dos Búzios","Preta","2020",0
"Armação dos Búzios","Preta","2021",4
"Armação dos Búzios","Preta","2022",0
"Armação dos Búzios","Preta","2023",11
"Armação dos Búzios","Preta","2024",32
"Armação dos Búzios","Preta","2025",25
"Armação dos Búzios","Amarela","2015",0
"Armação dos Búzios","Amarela","2016",1
"Armação dos Búzios","Amarela","2017",0
"Armação dos Búzios","Amarela","2018",0
"Armação dos Búzios","Amarela","2019",0
"Armação dos Búzios","Amarela","2020",0
"Armação dos Búzios","Amarela","2021",0
"Armação dos Búzios","Amarela","2022",0
"Armação dos Búzios","Amarela","2023",4
"Armação dos Búzios","Amarela","2024",2
"Armação dos Búzios","Amarela","2025",1
"Armação dos Búzios","Parda","2015",17
"Armação dos Búzios","Parda","2016",8
"Armação dos Búzios","Parda","2017",0
"Armação dos Búzios","Parda","2018",1
"Armação dos Búzios","Parda","2019",60
"Armação dos Búzios","Parda","2020",1
"Armação dos Búzios","Parda","2021",23
"Armação dos Búzios","Parda","2022",7
"Armação dos Búzios","Parda","2023",39
"Armação dos Búzios","Parda","2024",93
"Armação dos Búzios","Parda","2025",51
"Armação dos Búzios","Indígena","2015",0
"Armação dos Búzios","Indígena","2016",0
"Armação dos Búzios","Indígena","2017",0
"Armação dos Búzios","Indígena","2018",0
"Armação dos Búzios","Indígena","2019",0
"Armação dos Búzios","Indígena","2020",0
"Armação dos Búzios","Indígena","2021",0
"Armação dos Búzios","Indígena","2022",1
"Armação dos Búzios","Indígena","2023",0
"Armação dos Búzios","Indígena","2024",1
"Armação dos Búzios","Indígena","2025",0
"Armação dos Búzios","Ignorado","2015",31
"Armação dos Búzios","Ignorado","2016",1
"Armação dos Búzios","Ignorado","2017",0
"Armação dos Búzios","Ignorado","2018",0
"Armação dos Búzios","Ignorado","2019",1
"Armação dos Búzios","Ignorado","2020",0
"Armação dos Búzios","Ignorado","2021",20
"Armação dos Búzios","Ignorado","2022",6
"Armação dos Búzios","Ignorado","2023",87
"Armação dos Búzios","Ignorado","2024",51
"Armação dos Búzios","Ignorado","2025",45
"Arraial do Cabo","Branca","2015",27
"Arraial do Cabo","Branca","2016",287
"Arraial do Cabo","Branca","2017",1
"Arraial do Cabo","Branca","2018",1
"Arraial do Cabo","Branca","2019",6
"Arraial do Cabo","Branca","2020",0
"Arraial do Cabo","Branca","2021",2
"Arraial do Cabo","Branca","2022",14
"Arraial do Cabo","Branca","2023",38
"Arraial do Cabo","Branca","2024",278
"Arraial do Cabo","Branca","2025",37
"Arraial do Cabo","Preta","2015",0
"Arraial do Cabo","Preta","2016",77
"Arraial do Cabo","Preta","2017",0
"Arraial do Cabo","Preta","2018",0
"Arraial do Cabo","Preta","2019",0
"Arraial do Cabo","Preta","2020",1
"Arraial do Cabo","Preta","2021",0
"Arraial do Cabo","Preta","2022",1
"Arraial do Cabo","Preta","2023",5
"Arraial do Cabo","Preta","2024",46
"Arraial do Cabo","Preta","2025",5
"Arraial do Cabo","Amarela","2015",0
"Arraial do Cabo","Amarela","2016",2
"Arraial do Cabo","Amarela","2017",0
"Arraial do Cabo","Amarela","2018",0
"Arraial do Cabo","Amarela","2019",0
"Arraial do Cabo","Amarela","2020",0
"Arraial do Cabo","Amarela","2021",0
"Arraial do Cabo","Amarela","2022",0
"Arraial do Cabo","Amarela","2023",0
"Arraial do Cabo","Amarela","2024",19
"Arraial do Cabo","Amarela","2025",2
"Arraial do Cabo","Parda","2015",1
"Arraial do Cabo","Parda","2016",294
"Arraial do Cabo","Parda","2017",3
"Arraial do Cabo","Parda","2018",0
"Arraial do Cabo","Parda","2019",8
"Arraial do Cabo","Parda","2020",0
"Arraial do Cabo","Parda","2021",2
"Arraial do Cabo","Parda","2022",6
"Arraial do Cabo","Parda","2023",20
"Arraial do Cabo","Parda","2024",246
"Arraial do Cabo","Parda","2025",16
"Arraial do Cabo","Indígena","2015",0
"Arraial do Cabo","Indígena","2016",0
"Arraial do Cabo","Indígena","2017",0
"Arraial do Cabo","Indígena","2018",0
"Arraial do Cabo","Indígena","2019",0
"Arraial do Cabo","Indígena","2020",0
"Arraial do Cabo","Indígena","2021",0
"Arraial do Cabo","Indígena","2022",0
"Arraial do Cabo","Indígena","2023",0
"Arraial do Cabo","Indígena","2024",0
"Arraial do Cabo","Indígena","2025",0
"Arraial do Cabo","Ignorado","2015",28
"Arraial do Cabo","Ignorado","2016",522
"Arraial do Cabo","Ignorado","2017",11
"Arraial do Cabo","Ignorado","2018",38
"Arraial do Cabo","Ignorado","2019",33
"Arraial do Cabo","Ignorado","2020",2
"Arraial do Cabo","Ignorado","2021",7
"Arraial do Cabo","Ignorado","2022",4
"Arraial do Cabo","Ignorado","2023",4
"Arraial do Cabo","Ignorado","2024",22
"Arraial do Cabo","Ignorado","2025",2
"Barra do Piraí","Branca","2015",195
"Barra do Piraí","Branca","2016",310
