"NOME_MUN","NU_ANO","CASOS","Cód.","POP","INCIDENCIA"
"PORTO REAL",2024,895,"3304110",21064,4248.95556399544
"QUATIS",2024,285,"3304128",14158,2012.99618590196
"QUEIMADOS",2024,831,"3304144",149093,557.370232002844
"QUISSAMÃ",2024,567,"3304151",23126,2451.78586871919
"RESENDE",2024,10531,"3304201",137612,7652.67563875243
"RIO BONITO",2024,282,"3304300",59113,477.052425016494
"RIO CLARO",2024,461,"3304409",17950,2568.24512534819
"RIO DAS FLORES",2024,25,"3304508",9264,269.86183074266
"RIO DAS OSTRAS",2024,4374,"3304524",168099,2602.03808470009
"RIO DE JANEIRO",2024,111759,"3304557",6729894,1660.63536810535
"SANTA MARIA MADALENA",2024,16,"3304607",10579,151.243028641649
"SANTO ANTÔNIO DE PÁDUA",2024,562,"3304706",43686,1286.45332600833
"SÃO FIDÉLIS",2024,224,"3304805",41197,543.728912299439
"SÃO FRANCISCO DE ITABAPOANA",2024,3286,"3304755",47368,6937.17277486911
"SÃO GONÇALO",2024,2592,"3304904",960652,269.81674945766
"SÃO JOÃO DA BARRA",2024,228,"3305000",38708,589.025524439392
"SÃO JOÃO DE MERITI",2024,2768,"3305109",466536,593.308983658281
"SÃO JOSÉ DE UBÁ",2024,97,"3305133",7315,1326.04237867396
"SÃO JOSÉ DO VALE DO RIO PRETO",2024,418,"3305158",22799,1833.41374621694
"SÃO PEDRO DA ALDEIA",2024,305,"3305208",110556,275.878287926481
"SÃO SEBASTIÃO DO ALTO",2024,215,"3305307",7999,2687.83597949744
"SAPUCAIA",2024,1196,"3305406",18289,6539.44994258844
"SAQUAREMA",2024,971,"3305505",95201,1019.94726946146
"SEROPÉDICA",2024,123,"3305554",84737,145.155009027933
"SILVA JARDIM",2024,193,"3305604",22026,876.237174248615
"SUMIDOURO",2024,489,"3305703",15690,3116.63479923518
"TANGUÁ",2024,130,"3305752",32858,395.641852821231
"TERESÓPOLIS",2024,2070,"3305802",176692,1171.53012020918
"TRAJANO DE MORAES",2024,67,"3305901",10652,628.989861058956
"TRÊS RIOS",2024,1858,"3306008",82300,2257.59416767922
"VALENÇA",2024,839,"3306107",71462,1174.05054434525
"VARRE-SAI",2024,100,"3306156",10559,947.059380623165
"VASSOURAS",2024,3410,"3306206",35904,9497.54901960784
"VOLTA REDONDA",2024,24346,"3306305",279898,8698.16861856819
